#TYPE Selected.System.Management.Automation.PSCustomObject
"EventID","TimeGenerated","UserName"
"4625","04.06.2025 14:10:00",
"4625","04.06.2025 10:55:51",
"4625","04.06.2025 08:58:33",
"4720","03.06.2025 09:23:53",
